TimeInterval,GantryFrom,GantryTo,VehicleType,TravelTime,TrafficFlow,SpaceMeanSpeed
2023/03/02 18:35,01F0578S,01F0633S,5,370,7,50
2023/10/31 02:25,01F0578S,01F0633S,41,0,0,0
2023/08/01 12:35,01F0664S,01F0681S,32,64,40,93
2023/02/05 16:20,01F0750S,01F0880S,42,792,3,57
2023/09/03 05:35,01F0750S,01F0880S,42,503,4,91
2023/11/16 00:05,01F0511S,01F0532S,41,0,0,0
2023/07/28 03:10,01F0578S,01F0633S,32,219,9,90
2023/07/30 09:00,01F0880S,01F0928S,31,177,190,97
2023/01/02 08:45,01F0664S,01F0681S,42,64,11,93
2023/11/18 06:50,01F0578S,01F0633S,41,224,9,86
2023/10/08 06:50,01F0293S,01F0339S,41,187,16,86
2023/02/16 03:25,01F0880S,01F0928S,32,170,5,100
2023/03/02 20:10,01F0664S,01F0681S,31,60,118,100
2023/11/21 07:55,01F0950S,01F0980S,31,113,139,93
2023/07/15 23:50,01F0264S,01F0293S,5,120,3,86
2023/06/02 06:15,01F0557S,01F0578S,42,96,13,75
2023/07/23 15:30,01F0950S,01F0980S,5,145,3,72
2023/09/03 13:25,01F0511S,01F0532S,42,1763,2,41
2023/05/27 17:10,01F0578S,01F0633S,31,232,171,82
2023/03/14 07:25,01F0578S,01F0633S,42,280,14,68
2023/08/31 00:10,01F0681S,01F0699S,31,67,23,93
2023/04/13 00:20,01F0293S,01F0339S,32,180,4,90
2023/02/12 12:30,01F0492S,01F0511S,41,71,2,93
2023/08/29 23:25,01F0293S,01F0339S,5,176,6,91
2023/11/29 21:00,01F0880S,01F0928S,42,190,13,90
2023/06/11 03:50,01F0633S,01F0664S,31,111,26,97
2023/06/05 10:55,01F0880S,01F0928S,5,275,23,61
2023/07/10 19:50,01F0467S,01F0492S,42,101,6,86
2023/05/10 02:10,01F0532S,01F0557S,41,0,0,0
2023/04/07 00:35,01F0928S,01F0950S,31,75,25,104
2023/05/05 12:30,01F0264S,01F0293S,41,113,11,90
2023/05/18 11:55,01F0880S,01F0928S,31,245,182,68
2023/08/07 03:40,01F0664S,01F0681S,5,75,9,79
2023/06/07 14:15,01F0699S,01F0750S,5,216,23,82
2023/02/10 11:45,01F0376S,01F0413S,42,190,16,68
2023/03/21 11:40,01F0532S,01F0557S,42,112,33,79
2023/01/05 16:45,01F0750S,01F0880S,5,553,11,82
2023/12/09 04:40,01F0578S,01F0633S,42,217,7,90
2023/07/03 16:25,01F0681S,01F0699S,31,67,57,93
2023/06/03 17:35,01F0492S,01F0511S,32,86,65,79
2023/08/05 23:35,01F0880S,01F0928S,31,173,109,97
2023/07/26 14:25,01F0950S,01F0980S,41,132,3,79
2023/08/15 15:20,01F0750S,01F0880S,32,658,64,68
2023/07/31 21:10,01F0264S,01F0293S,5,121,9,82
2023/05/25 03:20,01F0750S,01F0880S,5,495,15,93
2023/09/10 13:30,01F0578S,01F0633S,41,225,1,86
2023/12/01 21:00,01F0928S,01F0950S,42,261,10,28
2023/01/26 19:00,01F0511S,01F0532S,41,83,3,90
2023/08/06 16:10,01F0557S,01F0578S,32,83,61,90
2023/12/23 23:05,01F0293S,01F0339S,31,177,227,90
2023/07/29 02:05,01F0699S,01F0750S,31,169,14,106
2023/09/17 03:45,01F0467S,01F0492S,5,100,4,90
2023/01/15 07:05,01F0413S,01F0467S,32,193,23,97
2023/10/30 08:55,01F0750S,01F0880S,42,818,18,54
2023/06/23 08:25,01F0293S,01F0339S,31,166,149,97
2023/12/23 04:25,01F0376S,01F0413S,32,140,15,93
2023/04/20 11:50,01F0467S,01F0492S,41,98,3,90
2023/09/29 15:30,01F0293S,01F0339S,41,681,12,21
2023/08/23 12:00,01F0492S,01F0511S,32,74,70,90
2023/04/04 06:45,01F0511S,01F0532S,32,76,26,97
2023/05/08 00:00,01F0681S,01F0699S,41,68,1,93
2023/01/30 20:35,01F0532S,01F0557S,42,104,19,86
2023/07/29 07:50,01F0376S,01F0413S,31,136,118,97
2023/12/09 00:10,01F0557S,01F0578S,5,88,12,82
2023/09/22 03:55,01F0950S,01F0980S,31,112,7,93
2023/04/24 08:10,01F0413S,01F0467S,31,202,169,93
2023/06/13 16:15,01F0532S,01F0557S,41,108,3,82
2023/07/13 09:25,01F0699S,01F0750S,32,314,52,57
2023/08/08 02:35,01F0681S,01F0699S,5,78,12,81
2023/02/22 00:05,01F0664S,01F0681S,31,61,41,97
2023/02/12 10:00,01F0511S,01F0532S,31,77,179,97
2023/02/18 21:55,01F0492S,01F0511S,31,70,174,97
2023/02/26 19:05,01F0264S,01F0293S,31,109,236,93
2023/04/09 23:45,01F0511S,01F0532S,5,88,1,82
2023/09/18 10:15,01F0511S,01F0532S,41,89,1,82
2023/09/29 23:25,01F0664S,01F0681S,32,60,11,100
2023/10/18 09:30,01F0413S,01F0467S,32,222,79,86
2023/11/02 02:50,01F0293S,01F0339S,32,178,4,90
2023/07/08 22:15,01F0413S,01F0467S,31,201,230,93
2023/01/27 11:40,01F0880S,01F0928S,42,528,1,32
2023/11/22 18:05,01F0664S,01F0681S,5,85,3,72
2023/01/03 07:35,01F0532S,01F0557S,5,359,14,23
2023/04/14 07:00,01F0511S,01F0532S,41,93,8,81
2023/10/11 07:55,01F0293S,01F0339S,31,173,224,93
2023/10/17 16:45,01F0750S,01F0880S,31,482,197,93
2023/09/10 02:15,01F0532S,01F0557S,31,90,62,97
2023/12/15 00:35,01F0633S,01F0664S,31,111,30,97
2023/11/11 13:10,01F0681S,01F0699S,32,66,36,97
2023/11/23 08:30,01F0532S,01F0557S,31,216,257,39
2023/05/17 02:25,01F0664S,01F0681S,5,66,13,90
2023/11/08 20:15,01F0264S,01F0293S,5,116,9,90
2023/11/08 22:15,01F0293S,01F0339S,32,171,22,95
2023/10/06 08:55,01F0264S,01F0293S,5,121,50,82
2023/12/19 05:15,01F0578S,01F0633S,31,198,20,97
2023/02/23 13:30,01F0339S,01F0376S,32,160,152,82
2023/03/15 15:45,01F0633S,01F0664S,31,120,122,90
2023/07/21 07:40,01F0681S,01F0699S,5,76,14,82
2023/12/05 17:30,01F0339S,01F0376S,5,203,6,64
2023/02/22 15:20,01F0750S,01F0880S,41,511,7,90
2023/03/13 00:15,01F0376S,01F0413S,5,223,1,57
2023/09/06 06:10,01F0511S,01F0532S,5,87,15,86
2023/12/10 08:30,01F0699S,01F0750S,41,200,5,90
2023/09/01 11:35,01F0928S,01F0950S,32,86,53,90
2023/12/31 15:05,01F0376S,01F0413S,42,175,5,75
2023/09/02 20:55,01F0880S,01F0928S,41,179,7,93
2023/08/08 18:35,01F0699S,01F0750S,41,199,2,90
2023/06/02 11:55,01F0492S,01F0511S,41,73,3,93
2023/11/12 11:45,01F0467S,01F0492S,32,91,41,97
